[PENELITIAN] SELESAI : videos/siang/VID_20250522_140554652_1.mp4 | Ada Maling -> False
[PENELITIAN] SELESAI : videos/siang/VID_20250522_140554652_2.mp4 | Ada Maling -> False
[PENELITIAN] SELESAI : videos/siang/VID_20250522_140554652_3.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/malam/VID_20250522_140554652_1.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/malam/VID_20250522_140554652_2.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/malam/video_malam1.mp4 | Ada Maling -> False
[PENELITIAN] SELESAI : videos/aerox-siang/VID_20250529_165149928~2-andreas-randi.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/aerox-siang/VID_20250529_165434804~2-shafiq-andreas.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/aerox-siang/VID_20250529_165655053~2-fajar-shafiq.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/aerox-malam/VID_20250529_180932155~2-andre-shafiq.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/aerox-malam/VID_20250529_181543377~2-fajar-shafiq.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/aerox-malam/VID_20250529_181737364~2-shafiq-andreas.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/beat-siang/VID_20250529_170128184~2-shafiq-randi.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/beat-siang/VID_20250529_170249316~2-andreas-fajar.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/beat-siang/VID_20250529_170434119~2-fajar-shafiq.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/beat-siang/VID_20250529_170434119~3-randi-andreas.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/beat-malam/VID_20250529_182126862-andreas-randi.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/beat-malam/VID_20250529_182526100-shafiq-fajar.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/beat-malam/VID_20250529_182631408-fajar-shafiq.mp4 | Ada Maling -> True
[PENELITIAN] SELESAI : videos/beat-malam/VID_20250529_182759428-randi-andreas.mp4 | Ada Maling -> False
